feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,class
7.0,3.0,18.0,40.0,4.0,5.0,0.24,2.0,2.0,5.0,1.0,15.0,1.0,0.0,3.0,0.0,24.19,12.38,3709.91,0.1,63.0,0.08,206.11,299.56,0.2,1.0,2.0,12.0,0.08,23.0,40.0,13.0,14.0,63.0,95.08,21.0,0
7.0,4.0,21.0,48.0,4.0,5.0,0.21,2.0,2.0,5.0,1.0,16.0,1.0,0.0,3.0,0.0,26.15,12.5,4086.25,0.11,68.0,0.08,227.01,326.9,0.2,1.0,2.0,13.0,0.07,25.0,43.0,14.0,14.0,74.0,95.83,24.0,0
5.0,3.0,3.0,0.0,6.0,3.0,0.75,2.0,3.0,2.0,0.67,9.0,1.0,0.0,1.0,3.0,11.72,9.0,949.37,0.04,27.0,0.11,52.74,105.49,0.33,2.0,3.0,8.0,0.38,12.0,15.0,6.0,9.0,8.0,75.0,4.0,0
7.0,1.0,4.0,0.0,12.0,4.0,0.8,6.0,2.0,1.0,0.25,14.0,1.0,0.0,1.0,1.0,16.48,8.25,1121.45,0.05,32.0,0.12,62.3,135.93,0.25,3.0,6.0,12.0,0.57,12.0,20.0,8.0,11.0,7.0,80.0,5.0,0
5.0,0.0,12.0,0.0,8.0,3.0,0.21,4.0,2.0,1.0,0.33,10.0,1.0,0.0,2.0,5.0,11.04,18.86,3925.09,0.07,49.0,0.05,218.06,208.15,0.33,2.0,4.0,9.0,0.18,22.0,27.0,7.0,12.0,17.0,85.71,14.0,0
5.0,1.0,7.0,0.0,8.0,3.0,0.33,4.0,2.0,2.0,0.67,10.0,1.0,0.0,2.0,3.0,19.46,4.5,394.06,0.03,23.0,0.22,21.89,87.57,0.33,2.0,4.0,9.0,0.25,9.0,14.0,7.0,7.0,12.0,77.78,9.0,0
7.0,9.0,11.0,4.0,12.0,4.0,0.33,6.0,2.0,4.0,1.0,20.0,1.0,0.0,1.0,2.0,27.93,10.21,2914.07,0.1,60.0,0.1,161.89,285.29,0.25,3.0,6.0,18.0,0.22,22.0,38.0,14.0,13.0,18.0,93.75,12.0,0
7.0,12.0,17.0,8.0,12.0,4.0,0.21,6.0,2.0,4.0,1.0,24.0,1.0,0.0,2.0,4.0,51.96,5.57,1612.97,0.1,59.0,0.18,89.61,289.51,0.25,3.0,6.0,22.0,0.14,26.0,33.0,21.0,9.0,29.0,92.59,19.0,0
9.0,5.0,18.0,2.0,16.0,5.0,0.24,8.0,2.0,4.0,0.8,22.0,4.0,0.0,3.0,3.0,18.05,15.33,4242.98,0.09,63.0,0.07,235.72,276.72,0.8,4.0,8.0,19.0,0.2,23.0,40.0,9.0,12.0,25.0,86.96,21.0,0
7.0,0.0,1.0,0.0,10.0,4.0,2.0,2.0,5.0,1.0,0.25,9.0,3.0,0.0,1.0,3.0,7.14,10.67,811.81,0.03,22.0,0.09,45.1,76.11,0.75,4.0,7.0,7.0,1.0,8.0,14.0,3.0,8.0,4.0,50.0,2.0,0
9.0,4.0,12.0,0.0,16.0,5.0,0.38,8.0,2.0,2.0,0.4,24.0,1.0,0.0,1.0,2.0,18.67,9.63,1729.78,0.06,46.0,0.1,96.1,179.72,0.2,4.0,8.0,21.0,0.33,22.0,24.0,8.0,7.0,15.0,92.31,13.0,0
5.0,3.0,11.0,7.0,8.0,3.0,0.23,4.0,2.0,2.0,0.67,14.0,1.0,0.0,2.0,0.0,27.56,12.76,4489.96,0.12,71.0,0.08,249.44,351.75,0.33,2.0,4.0,13.0,0.14,31.0,40.0,17.0,14.0,22.0,90.0,13.0,1
53.0,8.0,67.0,0.0,86.0,27.0,0.34,34.0,2.53,16.0,0.59,110.0,18.0,0.0,12.0,2.0,27.43,62.5,107141.35,0.57,314.0,0.02,5952.3,1714.26,0.67,26.0,43.0,85.0,0.33,125.0,189.0,22.0,22.0,82.0,84.81,79.0,0
1.0,0.0,1.0,0.0,4.0,1.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,1.0,1.0,2.0,2.0,0.25,2.0,6.0,2.0,6.0,4.0,50.0,2.0,0
9.0,2.0,11.0,4.0,16.0,5.0,0.38,8.0,2.0,3.0,0.6,27.0,1.0,0.0,2.0,0.0,20.2,19.71,7845.36,0.13,88.0,0.05,435.85,398.07,0.2,4.0,8.0,24.0,0.26,43.0,45.0,12.0,11.0,19.0,88.24,13.0,0
19.0,3.0,13.0,0.0,20.0,10.0,0.63,6.0,3.33,4.0,0.4,32.0,10.0,1.0,3.0,3.0,10.04,27.08,7363.07,0.09,64.0,0.04,409.06,271.87,1.0,7.0,10.0,24.0,0.56,25.0,39.0,6.0,13.0,18.0,81.25,16.0,0
3.0,1.0,22.0,9.0,4.0,2.0,0.09,2.0,2.0,2.0,1.0,9.0,1.0,0.0,1.0,3.0,25.14,20.43,10490.64,0.17,108.0,0.05,582.81,513.53,0.5,1.0,2.0,9.0,0.06,44.0,64.0,14.0,13.0,36.0,96.88,23.0,0
3.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,3.0,1.0,0.5,5.0,1.0,0.0,1.0,1.0,7.92,4.0,126.8,0.01,10.0,0.25,7.04,31.7,0.5,2.0,3.0,5.0,0.5,4.0,6.0,3.0,6.0,4.0,50.0,2.0,0
9.0,3.0,12.0,4.0,16.0,5.0,0.31,8.0,2.0,5.0,1.0,24.0,5.0,1.0,4.0,2.0,18.2,14.0,3567.06,0.08,53.0,0.07,198.17,254.79,1.0,4.0,8.0,21.0,0.21,21.0,32.0,12.0,16.0,24.0,80.0,16.0,0
3.0,1.0,5.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,3.0,7.13,13.5,1298.85,0.03,26.0,0.07,72.16,96.21,0.5,1.0,2.0,7.0,0.2,12.0,14.0,4.0,9.0,10.0,71.43,7.0,0
3.0,1.0,2.0,4.0,4.0,2.0,0.67,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,0.5,1.0,2.0,5.0,0.22,2.0,6.0,2.0,6.0,9.0,85.71,3.0,0
3.0,2.0,7.0,2.0,4.0,2.0,0.22,2.0,2.0,2.0,1.0,9.0,1.0,0.0,2.0,0.0,27.05,6.92,1296.67,0.06,42.0,0.14,72.04,187.3,0.5,1.0,2.0,9.0,0.15,20.0,22.0,13.0,9.0,13.0,81.82,9.0,0
5.0,3.0,6.0,0.0,8.0,3.0,0.38,4.0,2.0,3.0,1.0,10.0,1.0,0.0,2.0,2.0,22.99,4.44,454.16,0.03,25.0,0.23,25.23,102.19,0.33,2.0,4.0,9.0,0.3,10.0,15.0,9.0,8.0,10.0,75.0,8.0,0
7.0,4.0,9.0,3.0,12.0,4.0,0.36,6.0,2.0,2.0,0.5,16.0,1.0,0.0,2.0,3.0,33.75,10.33,3604.18,0.12,68.0,0.1,200.23,348.79,0.25,3.0,6.0,14.0,0.22,31.0,37.0,21.0,14.0,18.0,85.71,11.0,0
19.0,7.0,45.0,21.0,32.0,10.0,0.19,14.0,2.29,6.0,0.6,42.0,6.0,0.0,8.0,0.0,100.62,8.75,7703.86,0.29,156.0,0.11,427.99,880.44,0.6,9.0,16.0,34.0,0.13,70.0,86.0,40.0,10.0,76.0,89.19,53.0,0
3.0,0.0,8.0,0.0,4.0,2.0,0.2,2.0,2.0,1.0,0.5,8.0,1.0,0.0,2.0,1.0,16.23,9.56,1485.28,0.05,38.0,0.1,82.52,155.32,0.5,1.0,2.0,8.0,0.14,17.0,21.0,8.0,9.0,14.0,80.0,10.0,0
5.0,1.0,14.0,1.0,8.0,3.0,0.18,4.0,2.0,2.0,0.67,11.0,1.0,0.0,3.0,5.0,15.13,14.95,3381.36,0.08,50.0,0.07,187.85,226.18,0.33,2.0,4.0,10.0,0.13,23.0,27.0,10.0,13.0,23.0,83.33,17.0,0
3.0,2.0,2.0,4.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,6.0,1.0,0.0,2.0,0.0,8.98,2.5,56.15,0.01,8.0,0.4,3.12,22.46,0.5,1.0,2.0,6.0,0.2,2.0,6.0,2.0,5.0,10.0,75.0,4.0,0
5.0,2.0,3.0,0.0,8.0,3.0,0.75,4.0,2.0,2.0,0.67,12.0,1.0,0.0,1.0,2.0,9.29,11.0,1124.05,0.03,25.0,0.09,62.45,102.19,0.33,2.0,4.0,11.0,0.5,12.0,13.0,6.0,11.0,6.0,75.0,4.0,0
9.0,11.0,23.0,0.0,16.0,5.0,0.17,8.0,2.0,5.0,1.0,34.0,1.0,0.0,6.0,1.0,21.63,24.5,12985.0,0.18,106.0,0.04,721.39,530.0,0.2,4.0,8.0,31.0,0.16,49.0,57.0,16.0,16.0,31.0,79.31,29.0,0
5.0,2.0,3.0,0.0,8.0,3.0,0.75,4.0,2.0,2.0,0.67,11.0,3.0,1.0,1.0,1.0,9.79,9.6,902.51,0.03,23.0,0.1,50.14,94.01,1.0,2.0,4.0,10.0,0.5,8.0,15.0,5.0,12.0,6.0,75.0,4.0,0
7.0,3.0,6.0,1.0,12.0,4.0,0.5,6.0,2.0,4.0,1.0,18.0,4.0,1.0,2.0,2.0,17.33,8.33,1203.58,0.05,34.0,0.12,66.87,144.43,1.0,3.0,6.0,16.0,0.31,15.0,19.0,9.0,10.0,13.0,77.78,8.0,0
9.0,1.0,14.0,2.0,16.0,5.0,0.29,8.0,2.0,2.0,0.4,18.0,1.0,0.0,3.0,1.0,9.4,27.43,7072.27,0.09,57.0,0.04,392.9,257.83,0.2,4.0,8.0,15.0,0.24,24.0,33.0,7.0,16.0,21.0,84.21,17.0,0
3.0,1.0,6.0,1.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,7.0,1.0,0.0,1.0,1.0,19.97,5.5,603.94,0.04,25.0,0.18,33.55,109.81,0.5,1.0,2.0,7.0,0.2,10.0,15.0,10.0,11.0,10.0,87.5,7.0,0
5.0,2.0,3.0,0.0,8.0,3.0,0.75,4.0,2.0,2.0,0.67,12.0,1.0,0.0,1.0,3.0,10.57,12.86,1747.72,0.05,32.0,0.08,97.1,135.93,0.33,2.0,4.0,11.0,0.43,15.0,17.0,7.0,12.0,7.0,75.0,4.0,0
3.0,2.0,5.0,0.0,4.0,2.0,0.29,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,0.0,13.02,7.5,732.54,0.03,25.0,0.13,40.7,97.67,0.5,1.0,2.0,7.0,0.22,10.0,15.0,6.0,9.0,9.0,71.43,7.0,0
3.0,3.0,4.0,0.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,7.0,1.0,0.0,2.0,2.0,11.31,7.2,586.15,0.03,22.0,0.14,32.56,81.41,0.5,1.0,2.0,7.0,0.22,9.0,13.0,5.0,8.0,9.0,66.67,6.0,0
3.0,2.0,6.0,0.0,4.0,2.0,0.25,2.0,2.0,2.0,1.0,8.0,1.0,0.0,2.0,2.0,10.29,11.67,1400.0,0.04,30.0,0.09,77.78,120.0,0.5,1.0,2.0,8.0,0.2,14.0,16.0,6.0,10.0,10.0,75.0,8.0,0
7.0,6.0,26.0,1.0,12.0,4.0,0.13,6.0,2.0,4.0,1.0,21.0,4.0,1.0,4.0,5.0,31.4,18.47,10714.74,0.19,116.0,0.05,595.26,580.0,1.0,3.0,6.0,19.0,0.12,54.0,62.0,19.0,13.0,34.0,87.1,30.0,0
11.0,2.0,21.0,1.0,20.0,6.0,0.24,10.0,2.0,3.0,0.5,27.0,5.0,0.0,4.0,2.0,13.94,25.0,8711.43,0.12,76.0,0.04,483.97,348.46,0.83,5.0,10.0,23.0,0.21,30.0,46.0,9.0,15.0,29.0,84.62,25.0,0
7.0,1.0,4.0,0.0,12.0,4.0,0.8,6.0,2.0,1.0,0.25,14.0,1.0,0.0,1.0,1.0,17.74,8.67,1332.34,0.05,35.0,0.12,74.02,153.73,0.25,3.0,6.0,12.0,0.57,13.0,22.0,9.0,12.0,7.0,80.0,5.0,0
7.0,6.0,4.0,2.0,10.0,4.0,0.8,4.0,2.5,4.0,1.0,17.0,3.0,0.0,1.0,4.0,24.49,10.68,2792.65,0.09,55.0,0.09,155.15,261.51,0.75,3.0,5.0,15.0,0.31,23.0,32.0,14.0,13.0,13.0,85.71,5.0,0
7.0,9.0,11.0,5.0,12.0,4.0,0.33,6.0,2.0,4.0,1.0,22.0,1.0,0.0,1.0,2.0,30.16,11.0,3648.78,0.11,69.0,0.09,202.71,331.71,0.25,3.0,6.0,20.0,0.21,22.0,47.0,14.0,14.0,19.0,94.12,12.0,0
3.0,1.0,7.0,3.0,4.0,2.0,0.22,2.0,2.0,1.0,0.5,8.0,1.0,0.0,2.0,4.0,19.63,10.05,1980.5,0.07,43.0,0.1,110.03,197.15,0.5,1.0,2.0,8.0,0.12,17.0,26.0,11.0,13.0,17.0,83.33,9.0,0
5.0,8.0,12.0,3.0,8.0,3.0,0.2,4.0,2.0,3.0,1.0,18.0,1.0,0.0,3.0,2.0,16.58,12.57,2621.1,0.07,50.0,0.08,145.62,208.5,0.33,2.0,4.0,17.0,0.15,16.0,34.0,7.0,11.0,20.0,83.33,15.0,0
5.0,0.0,4.0,0.0,8.0,3.0,0.5,4.0,2.0,1.0,0.33,9.0,1.0,0.0,2.0,4.0,8.93,7.88,553.68,0.02,19.0,0.13,30.76,70.31,0.33,2.0,4.0,8.0,0.33,7.0,12.0,4.0,9.0,9.0,66.67,6.0,0
15.0,5.0,49.0,15.0,28.0,8.0,0.15,14.0,2.0,1.0,0.13,49.0,1.0,0.0,6.0,5.0,49.75,43.0,91978.75,0.71,383.0,0.02,5109.93,2139.04,0.13,7.0,14.0,43.0,0.11,172.0,211.0,32.0,16.0,76.0,91.43,55.0,0
3.0,1.0,4.0,7.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,12.4,3.75,174.4,0.02,14.0,0.27,9.69,46.51,0.5,1.0,2.0,5.0,0.13,5.0,9.0,4.0,6.0,15.0,84.62,6.0,0
67.0,12.0,106.0,18.0,100.0,35.0,0.28,38.0,2.63,26.0,0.74,143.0,26.0,0.0,19.0,3.0,72.43,57.44,238951.09,1.39,610.0,0.02,13275.06,4160.31,0.74,31.0,50.0,110.0,0.24,256.0,354.0,78.0,35.0,146.0,86.71,125.0,0
5.0,1.0,7.0,26.0,6.0,3.0,0.3,2.0,3.0,1.0,0.33,9.0,3.0,1.0,3.0,2.0,20.04,7.33,1077.6,0.05,34.0,0.14,59.87,146.95,1.0,2.0,3.0,8.0,0.08,12.0,22.0,9.0,11.0,39.0,91.67,10.0,0
7.0,12.0,15.0,6.0,12.0,4.0,0.24,6.0,2.0,4.0,1.0,26.0,1.0,0.0,2.0,5.0,59.54,5.6,1867.06,0.11,65.0,0.18,103.73,333.4,0.25,3.0,6.0,24.0,0.14,28.0,37.0,25.0,10.0,28.0,91.3,17.0,0
5.0,4.0,3.0,0.0,8.0,3.0,0.75,4.0,2.0,3.0,1.0,16.0,1.0,0.0,1.0,3.0,24.0,5.83,816.67,0.05,35.0,0.17,45.37,140.0,0.33,2.0,4.0,15.0,0.5,15.0,20.0,9.0,7.0,6.0,75.0,4.0,0
5.0,4.0,9.0,1.0,8.0,3.0,0.25,4.0,2.0,3.0,1.0,16.0,1.0,0.0,3.0,1.0,13.36,17.94,4301.69,0.08,51.0,0.06,238.98,239.72,0.33,2.0,4.0,15.0,0.2,19.0,32.0,9.0,17.0,15.0,76.92,12.0,0
3.0,1.0,4.0,0.0,4.0,2.0,0.4,2.0,2.0,2.0,1.0,8.0,1.0,0.0,1.0,1.0,15.33,11.67,2086.15,0.06,39.0,0.09,115.9,178.81,0.5,1.0,2.0,8.0,0.22,14.0,25.0,9.0,15.0,9.0,80.0,5.0,0
13.0,7.0,18.0,7.0,20.0,7.0,0.32,8.0,2.5,6.0,0.86,29.0,5.0,0.0,4.0,4.0,32.27,18.21,10705.77,0.2,112.0,0.05,594.77,587.77,0.71,6.0,11.0,24.0,0.21,45.0,67.0,21.0,17.0,34.0,86.21,22.0,0
7.0,1.0,8.0,1.0,12.0,4.0,0.36,6.0,2.0,2.0,0.5,15.0,1.0,0.0,3.0,3.0,15.73,8.75,1204.07,0.05,33.0,0.11,66.89,137.61,0.25,3.0,6.0,13.0,0.29,14.0,19.0,8.0,10.0,14.0,75.0,11.0,0
3.0,1.0,4.0,12.0,4.0,2.0,0.33,2.0,2.0,1.0,0.5,7.0,1.0,0.0,2.0,0.0,14.3,6.29,564.82,0.03,23.0,0.16,31.38,89.86,0.5,1.0,2.0,7.0,0.1,11.0,12.0,7.0,8.0,20.0,88.89,6.0,0
3.0,0.0,5.0,4.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,6.0,1.0,0.0,2.0,0.0,8.52,12.0,1226.24,0.03,25.0,0.08,68.12,102.19,0.5,1.0,2.0,6.0,0.15,10.0,15.0,5.0,12.0,13.0,81.82,7.0,0
5.0,4.0,18.0,1.0,8.0,3.0,0.14,4.0,2.0,2.0,0.67,14.0,1.0,0.0,3.0,5.0,22.46,14.39,4653.68,0.11,68.0,0.07,258.54,323.33,0.33,2.0,4.0,13.0,0.12,31.0,37.0,14.0,13.0,26.0,86.36,21.0,0
15.0,8.0,23.0,10.0,20.0,8.0,0.33,6.0,3.33,6.0,0.75,38.0,6.0,0.0,1.0,2.0,36.9,17.19,10901.14,0.21,120.0,0.06,605.62,634.25,0.75,7.0,10.0,32.0,0.22,55.0,65.0,24.0,15.0,36.0,97.06,24.0,1
3.0,4.0,3.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,8.0,1.0,0.0,1.0,2.0,15.13,7.43,834.75,0.04,26.0,0.13,46.37,112.37,0.5,1.0,2.0,8.0,0.33,8.0,18.0,7.0,13.0,6.0,75.0,4.0,0
5.0,2.0,9.0,0.0,8.0,3.0,0.25,4.0,2.0,2.0,0.67,10.0,1.0,0.0,3.0,0.0,22.38,9.55,2039.08,0.07,46.0,0.1,113.28,213.62,0.33,2.0,4.0,9.0,0.21,15.0,31.0,11.0,14.0,14.0,75.0,12.0,0
3.0,0.0,3.0,1.0,4.0,2.0,0.5,2.0,2.0,1.0,0.5,6.0,1.0,0.0,1.0,2.0,10.81,4.8,249.08,0.02,15.0,0.21,13.84,51.89,0.5,1.0,2.0,6.0,0.29,8.0,7.0,5.0,6.0,7.0,80.0,4.0,0
3.0,1.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,1.0,9.51,3.0,85.59,0.01,9.0,0.33,4.75,28.53,0.5,1.0,2.0,5.0,0.4,3.0,6.0,3.0,6.0,5.0,66.67,3.0,0
5.0,4.0,8.0,1.0,8.0,3.0,0.27,4.0,2.0,3.0,1.0,14.0,1.0,0.0,3.0,3.0,13.21,17.1,3863.67,0.08,47.0,0.06,214.65,225.95,0.33,2.0,4.0,13.0,0.2,19.0,28.0,10.0,18.0,15.0,75.0,11.0,0
9.0,7.0,20.0,3.0,12.0,5.0,0.2,6.0,2.0,5.0,1.0,22.0,1.0,0.0,5.0,0.0,33.65,8.75,2576.12,0.1,60.0,0.11,143.12,294.41,0.2,3.0,6.0,19.0,0.17,20.0,40.0,16.0,14.0,30.0,82.14,25.0,0
3.0,2.0,3.0,1.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,7.33,4.5,148.5,0.01,11.0,0.22,8.25,33.0,0.5,1.0,2.0,6.0,0.29,3.0,8.0,2.0,6.0,7.0,80.0,4.0,0
11.0,8.0,20.0,5.0,20.0,6.0,0.25,10.0,2.0,5.0,0.83,34.0,1.0,0.0,4.0,1.0,20.14,22.1,9834.5,0.15,89.0,0.05,546.36,445.0,0.17,5.0,10.0,30.0,0.19,39.0,50.0,15.0,17.0,31.0,86.21,24.0,0
3.0,1.0,10.0,0.0,4.0,2.0,0.17,2.0,2.0,1.0,0.5,7.0,1.0,0.0,2.0,1.0,19.76,10.5,2178.25,0.07,48.0,0.1,121.01,207.45,0.5,1.0,2.0,7.0,0.14,21.0,27.0,10.0,10.0,14.0,83.33,12.0,0
3.0,12.0,9.0,4.0,4.0,2.0,0.17,2.0,2.0,2.0,1.0,20.0,1.0,0.0,3.0,2.0,33.8,9.0,2738.04,0.1,62.0,0.11,152.11,304.23,0.5,1.0,2.0,20.0,0.12,27.0,35.0,18.0,12.0,17.0,81.25,12.0,0
3.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,3.0,1.0,0.5,5.0,1.0,0.0,1.0,1.0,9.97,4.67,217.03,0.02,14.0,0.21,12.06,46.51,0.5,2.0,3.0,5.0,0.5,4.0,10.0,3.0,7.0,4.0,50.0,2.0,0
5.0,10.0,31.0,18.0,8.0,3.0,0.09,4.0,2.0,3.0,1.0,22.0,3.0,1.0,2.0,7.0,38.32,23.93,21937.95,0.31,166.0,0.04,1218.78,916.91,1.0,2.0,4.0,21.0,0.05,68.0,98.0,27.0,19.0,59.0,96.08,33.0,1
21.0,11.0,36.0,24.0,36.0,11.0,0.26,18.0,2.0,11.0,1.0,49.0,1.0,0.0,6.0,0.0,32.54,24.65,19784.27,0.27,147.0,0.04,1099.13,802.54,0.09,9.0,18.0,40.0,0.16,54.0,93.0,23.0,21.0,68.0,90.91,42.0,0
3.0,0.0,5.0,18.0,4.0,2.0,0.29,2.0,2.0,1.0,0.5,7.0,1.0,0.0,2.0,1.0,16.75,7.5,942.32,0.04,33.0,0.13,52.35,125.64,0.5,1.0,2.0,7.0,0.07,15.0,18.0,7.0,7.0,27.0,92.0,7.0,0
7.0,5.0,9.0,0.0,10.0,4.0,0.4,4.0,2.5,3.0,0.75,14.0,1.0,0.0,1.0,2.0,28.12,7.5,1581.81,0.07,46.0,0.13,87.88,210.91,0.25,3.0,5.0,12.0,0.33,21.0,25.0,14.0,10.0,12.0,90.0,10.0,0
3.0,3.0,3.0,0.0,4.0,2.0,0.5,2.0,2.0,2.0,1.0,7.0,1.0,0.0,1.0,2.0,11.98,7.5,673.94,0.03,23.0,0.13,37.44,89.86,0.5,1.0,2.0,7.0,0.33,10.0,13.0,6.0,9.0,6.0,75.0,4.0,0
11.0,1.0,6.0,0.0,20.0,6.0,0.86,10.0,2.0,1.0,0.17,22.0,1.0,0.0,1.0,1.0,22.33,7.0,1093.93,0.05,40.0,0.14,60.77,156.28,0.17,5.0,10.0,18.0,0.67,16.0,24.0,8.0,7.0,9.0,85.71,7.0,0
3.0,1.0,4.0,6.0,4.0,2.0,0.33,2.0,2.0,2.0,1.0,5.0,1.0,0.0,2.0,0.0,12.4,3.75,174.4,0.02,14.0,0.27,9.69,46.51,0.5,1.0,2.0,5.0,0.14,5.0,9.0,4.0,6.0,14.0,83.33,6.0,0
